State,City,Postcode,State Population Rank,Household Income,Median Age,Population,Race White,Starbucks Count
NJ,BELFORD,07718,18,100000,39.8,7037,6384,261
IL,BLOOMINGTON,61705,5,99965,36.1,13474,11565,575
PA,AMBLER,19002,11,99910,43.4,33565,27703,357
MD,GLYNDON,21071,15,99886,42.1,615,564,257
CT,WEATOGUE,06089,30,99738,42.5,3216,2663,123
NY,FLORAL PARK,11001,4,99691,41.6,27551,19664,645
NJ,TRENTON,08690,18,99643,45.4,19716,17253,261
NY,MANLIUS,13104,4,99631,43.1,16000,13920,645
MN,AFTON,55001,20,99519,52.3,2959,2750,184
CT,WEST GRANBY,06090,30,99514,47.9,1113,1051,123
CA,TOPANGA,90290,1,99505,44.7,6478,5854,2821
CA,SILVERADO,92676,1,99444,47.3,1993,1798,2821
CA,SLOUGHHOUSE,95683,1,99348,50.4,6411,5261,2821
MN,ORONOCO,55960,20,99306,44.5,3195,2965,184
NJ,NEW EGYPT,08533,18,99235,43,6441,6072,261
NJ,SPRINGFIELD,07081,18,99211,44.4,17101,13534,261
NY,CLARENCE CENTER,14032,4,99194,41.9,7841,7508,645
CT,GUILFORD,06437,30,99132,48,22392,21076,123
NH,NEW BOSTON,03070,46,99028,41.7,5342,5334,29
ND,HORACE,58047,49,98947,36.1,3802,3724,13
MA,LANCASTER,01523,23,98918,37.7,7877,6892,273
MN,LAKE ELMO,55042,20,98844,43.5,8971,8546,184
CA,SANTA BARBARA,93111,1,98807,44.3,18440,13994,2821
NH,RYE,03870,46,98750,54.4,5306,5255,29
CT,HIGGANUM,06441,30,98750,47.3,5139,4903,123
VT,NORWICH,05055,51,98750,44.3,3342,3027,8
RI,CRANSTON,02921,50,98666,40.7,12217,10875,27
CT,RIVERTON,06065,30,98646,47.2,876,872,123
NH,GREENLAND,03840,46,98625,43.6,3895,3818,29
MD,CENTREVILLE,21617,15,98594,41,10274,9466,257
MD,BEL AIR,21015,15,98517,41.1,28146,24533,257
ME,FALMOUTH,04105,48,98517,47.1,11587,11051,30
MA,SWAMPSCOTT,01907,23,98475,44.6,14217,13591,273
CA,CLEMENTS,95227,1,98462,51.6,814,488,2821
PA,PIPERSVILLE,18947,11,98462,41.9,6972,6666,357
CT,BRIDGEWATER,06752,30,98424,53.8,1679,1597,123
NY,BUCHANAN,10511,4,98370,44.5,2236,1725,645
CA,SAN JOSE,95130,1,98304,38.2,14413,8225,2821
CT,SUFFIELD,06078,30,98199,40.5,12494,9792,123
IL,EVANSTON,60203,5,98148,42.3,4480,3302,575
ND,NEKOMA,58355,49,98125,39.9,102,102,13
MD,BARCLAY,21607,15,98125,39.6,782,637,257
NY,WESTTOWN,10998,4,98036,40.6,2736,2460,645
NJ,EAST BRUNSWICK,08816,18,97958,42.5,47056,31016,261
MD,CHURCHTON,20733,15,97957,44.4,2799,2453,257
MS,MADISON,39110,39,97947,39.8,39909,32901,32
CT,MIDDLEBURY,06762,30,97813,45.5,7593,6878,123
CA,HERALD,95638,1,97813,48.5,2095,1894,2821
NV,ROUND MOUNTAIN,89045,24,97813,42.8,1734,1669,253
MD,ROCKY RIDGE,21778,15,97778,40.1,1077,785,257
NJ,CLINTON,08809,18,97721,40.6,5958,4984,261
NE,ELKHORN,68022,38,97715,36.1,19763,19108,58
NY,CIRCLEVILLE,10919,4,97703,47.2,1405,1379,645
MD,WHITE HALL,21161,15,97700,46.1,5308,5059,257
NY,CARLE PLACE,11514,4,97692,42.1,4913,3799,645
MA,HOLDEN,01520,23,97650,40.9,14929,14201,273
TX,LOVING,76460,2,97639,42.9,493,471,1042
WY,ROZET,82727,44,97636,37.5,1798,1783,23
MD,SHADY SIDE,20764,15,97571,37.1,4801,3993,257
PA,BROWNSTOWN,17508,11,97404,48.1,334,334,357
CT,SOUTH WINDSOR,06074,30,97389,43.5,25806,21111,123
MI,CLARKSTON,48348,14,97367,42.7,23300,22454,283
MD,WHITE PLAINS,20695,15,97361,44.2,5661,2456,257
CA,COOL,95614,1,97308,44.5,4284,4172,2821
NY,BABYLON,11702,4,97294,43,13979,12526,645
NY,TUXEDO PARK,10987,4,97279,46.9,3318,2888,645
WA,KENNEWICK,99338,6,97276,36,13534,11993,757
KY,GOSHEN,40026,26,97270,37.1,5788,5444,116
NE,LINCOLN,68523,38,97266,47.5,1371,1358,58
CT,BETHANY,06524,30,97254,44.6,5533,5173,123
MD,JEFFERSON,21755,15,97250,44.9,5848,5638,257
FL,FORT LAUDERDALE,33330,3,97192,43.9,13457,10348,694
CA,SANTA YNEZ,93460,1,97188,51.1,4802,4030,2821
ND,WALES,58281,49,97188,41,137,128,13
MD,STEVENSVILLE,21666,15,97161,44.1,11900,11186,257
MA,ROCHESTER,02770,23,97157,44.5,5150,4730,273
NJ,FRANKLIN PARK,08823,18,97152,36.6,9430,2856,261
CA,RESCUE,95672,1,97048,46.3,5432,4554,2821
NY,WESTHAMPTON,11977,4,97045,52.3,2456,2368,645
AZ,PHOENIX,85083,8,97031,36.8,19195,16739,488
IL,MOKENA,60448,5,97027,40.6,25332,23965,575
MI,WASHINGTON,48095,14,97026,43.9,5182,4889,283
CT,BOLTON,06043,30,97019,47.1,4959,4580,123
NJ,OAK RIDGE,07438,18,97000,43,11192,10933,261
NJ,WOOD RIDGE,07075,18,96988,40.9,7938,6733,261
IL,GALT,61037,5,96944,42.1,285,285,575
MD,FOREST HILL,21050,15,96944,42.1,18601,17030,257
MI,LAKE ORION,48360,14,96918,38.8,11888,10584,283
IL,SPRINGFIELD,62711,5,96905,46.3,16445,14738,575
NY,FORT MONTGOMERY,10922,4,96875,44,1347,1123,645
CT,ROXBURY,06783,30,96875,50.8,2271,2236,123
AZ,GILBERT,85298,8,96817,36,28219,24393,488
NY,DELMAR,12054,4,96813,42.2,17318,15904,645
NJ,PORT MURRAY,07865,18,96797,47.5,2126,1897,261
WI,VERONA,53593,22,96793,38.9,21240,19780,145
CT,WATERTOWN,06795,30,96776,44.5,13792,13022,123
NJ,TEANECK,07666,18,96760,39.6,40569,19454,261
OH,SPRINGBORO,45066,7,96635,40.1,23998,22001,377
NY,EAST MORICHES,11940,4,96607,42.2,5352,5163,645
NH,LITCHFIELD,03052,46,96583,41.4,8268,8095,29
TX,KENDALIA,78027,2,96567,44.1,591,591,1042
WV,FOSTER,25081,47,96473,41.2,1283,1283,25
IL,CALEDONIA,61011,5,96424,53.2,2226,2014,575
CA,RANCHO CUCAMONGA,91737,1,96421,38.9,25619,16931,2821
TX,RANSOM CANYON,79366,2,96389,45.7,1319,1255,1042
MA,WEST TOWNSEND,01474,23,96349,45.3,1934,1889,273
AL,BIRMINGHAM,35213,33,96328,36.6,13925,12659,85
AK,CHIGNIK,99564,41,96250,39,70,22,49
MN,SAINT PAUL,55115,20,96169,43.2,9138,8534,184
CA,LOS OLIVOS,93441,1,96167,46.1,1251,1045,2821
WI,WALES,53183,22,96139,44.3,2962,2870,145
CT,GRANBY,06035,30,96089,47.1,8002,7471,123
RI,GREENE,02827,50,96071,48.9,2033,2000,27
PA,WALLINGFORD,19086,11,96045,45.4,11605,10240,357
MD,MECHANICSVILLE,20659,15,96037,38.6,24656,21091,257
MI,DEXTER,48130,14,96022,39.7,15486,14831,283
MA,NORTHBRIDGE,01534,23,96016,42.4,6378,6178,273
NJ,BEDMINSTER,07921,18,95985,47.2,7915,6943,261
CA,SHAVER LAKE,93664,1,95938,49.2,688,635,2821
NY,CHAUTAUQUA,14722,4,95917,51.4,441,398,645
CT,EAST HAMPTON,06424,30,95896,45,12851,11699,123
MN,MARINE ON SAINT CROIX,55047,20,95875,50.7,2753,2681,184
WI,SHERWOOD,54169,22,95846,42.3,2681,2627,145
IL,TIMEWELL,62375,5,95841,37.1,555,339,575
VT,BRIDGEWATER,05034,51,95833,52.5,317,306,8
VA,GOLDVEIN,22720,9,95833,45.4,1070,881,432
CT,SOMERS,06071,30,95806,43.8,11606,9848,123
WV,SLATYFORK,26291,47,95795,37.8,75,75,25
VT,WILLIAMSVILLE,05362,51,95781,47.4,114,114,8
NY,DUANESBURG,12056,4,95714,44.2,2471,2413,645
NH,STRAFFORD,03884,46,95707,45.8,4036,3905,29
NJ,WANAQUE,07465,18,95705,50.3,6615,6001,261
CT,NORTHFIELD,06778,30,95673,44.5,1405,1394,123
NJ,LANDING,07850,18,95650,41.2,6597,5642,261
MN,ELKO NEW MARKET,55020,20,95641,36.8,3576,3447,184
NY,EASTCHESTER,10709,4,95625,43.1,9357,8169,645
VT,JERICHO,05465,51,95573,42.1,5401,5282,8
OK,CARRIER,73727,35,95469,50.1,211,198,79
OH,GRANVILLE,43023,7,95458,35.4,13181,12438,377
CT,NORTHFORD,06472,30,95443,45.1,6690,6334,123
KS,MILTON,67106,29,95417,41.5,146,146,94
NJ,COLONIA,07067,18,95395,41.5,18161,14156,261
TN,MERCER,38392,19,95357,40.8,789,758,180
IL,WINFIELD,60190,5,95288,45.6,10819,9944,575
MA,HOPEDALE,01747,23,95268,41.2,5942,5617,273
WI,COLGATE,53017,22,95253,45.8,6132,5801,145
MA,MANCHESTER,01944,23,95243,48.8,5286,5154,273
NY,STONY POINT,10980,4,95214,43.2,13860,10958,645
OR,PORTLAND,97231,17,95208,50.5,3740,3394,359
WA,FOX ISLAND,98333,6,95208,47.6,3731,3318,757
MA,GROVELAND,01834,23,95208,46.3,6646,6493,273
IL,OLYMPIA FIELDS,60461,5,95192,53.3,4815,1141,575
RI,JAMESTOWN,02835,50,95175,49.6,5464,5223,27
CA,LAGUNITAS,94938,1,95172,49.2,636,558,2821
IA,FAIRFAX,52228,32,95156,37.5,3079,2990,89
MN,HANOVER,55341,20,95089,35.5,2965,2873,184
NY,MARILLA,14102,4,95083,44.2,1395,1395,645
MA,CANTON,02021,23,95045,42,22276,18752,273
MD,SUNDERLAND,20689,15,95000,46.3,1481,1110,257
NJ,MINE HILL,07803,18,95000,39.5,3649,3112,261
NH,LEE,03861,46,95000,41.7,4363,4168,29
WI,HOULTON,54082,22,94893,45.9,1563,1563,145
IN,MAYS,46155,16,94886,48.6,86,86,221
NJ,STOCKHOLM,07460,18,94853,46.3,3579,3474,261
IL,MODOC,62261,5,94844,37.9,148,148,575
IL,LINCOLNSHIRE,60069,5,94805,52.4,8572,7581,575
CT,UNIONVILLE,06085,30,94792,41.6,7661,6568,123
NJ,MILFORD,08848,18,94762,46.7,8154,8051,261
CO,ELBERT,80106,13,94653,46.1,4336,3995,481
NY,STORMVILLE,12582,4,94600,43.8,5887,4065,645
MI,FARMINGTON,48331,14,94528,45.7,21252,15476,283
NY,FARMINGVILLE,11738,4,94522,39.3,17311,15437,645
WI,MEQUON,53097,22,94450,45.8,5461,4780,145
NY,PEARL RIVER,10965,4,94352,41,15320,13647,645
ND,HARWOOD,58042,49,94342,39.5,1744,1639,13
MA,WEST BARNSTABLE,02668,23,94331,47.6,3192,3132,273
NY,ORANGEBURG,10962,4,94303,47.1,5809,4181,645
MD,WALDORF,20601,15,94277,36.6,25028,10577,257
NY,GREAT NECK,11024,4,94243,35.5,7667,6703,645
NY,BREWSTER,10509,4,94226,41.4,19218,16998,645
NY,EAST MEADOW,11554,4,94214,43.2,37836,28877,645
TX,MICO,78056,2,94196,52.9,1732,1248,1042
CT,NEW HARTFORD,06057,30,94167,46.2,6219,6121,123
NJ,HIBERNIA,07842,18,94167,42.8,33,33,261
MA,STURBRIDGE,01566,23,94167,41.8,6469,6230,273
CA,JAMUL,91935,1,94069,47.4,8335,7174,2821
MA,RUTLAND,01543,23,94028,40.8,8316,8053,273
NH,CANDIA,03034,46,93962,47.6,3948,3803,29
IL,ELGIN,60124,5,93935,39.4,20912,15957,575
IL,GLENARM,62536,5,93906,42.7,959,959,575
MA,ARLINGTON,02474,23,93904,40.6,27346,22714,273
TN,EADS,38028,19,93892,48.8,6573,5758,180
NJ,BLOOMSBURY,08804,18,93864,45.7,2450,2386,261
NJ,COLUMBUS,08022,18,93816,49,8926,6970,261
AL,PIKE ROAD,36064,33,93782,38.2,8944,6481,85
SC,CHARLESTON,29492,25,93781,36.1,11801,10311,131
CT,LAKESIDE,06758,30,93750,45.8,304,304,123
NE,FORT CALHOUN,68023,38,93681,48.8,2232,2186,58
CA,FAIRFAX,94930,1,93667,45.3,8796,8156,2821
FL,LITHIA,33547,3,93645,36.8,22670,20053,694
MD,POMFRET,20675,15,93542,47.2,1563,1039,257
KY,KIRKSEY,42054,26,93542,37.6,1120,1098,116
NC,RALEIGH,27608,12,93454,39,11062,10182,338
MD,SEVERN,21144,15,93446,35.4,34008,18468,257
AK,CHIGNIK LAGOON,99565,41,93438,40.1,73,18,49
FL,VALRICO,33596,3,93435,42,29579,24323,694
VA,SPOTSYLVANIA,22553,9,93416,36.6,14322,11572,432
NH,NOTTINGHAM,03290,46,93409,43.2,4801,4723,29
NH,EAST KINGSTON,03827,46,93362,45.5,3365,3322,29
NY,BREEZY POINT,11697,4,93333,44.7,4006,3962,645
NE,ROCA,68430,38,93313,45.1,1448,1409,58
MA,BILLERICA,01821,23,93307,40.9,31607,29015,273
NY,ALPLAUS,12008,4,93250,40.1,606,548,645
NJ,JULIUSTOWN,08042,18,93250,51.1,121,121,261
VA,MAIDENS,23102,9,93221,45.9,3026,2418,432
PA,HARLEYSVILLE,19438,11,93161,43.1,24880,21849,357
CA,NEWPORT BEACH,92661,1,93138,51.9,3128,2852,2821
PA,MILLRIFT,18340,11,93125,49.8,106,106,357
NJ,DUMONT,07628,18,93074,40.9,17820,12886,261
CO,MEAD,80542,13,93029,39.4,3854,3523,481
MA,MANSFIELD,02048,23,93019,37.5,23482,21078,273
IA,TODDVILLE,52341,32,93013,53.3,1031,1031,89
MA,ARLINGTON,02476,23,93011,44.5,16782,14446,273
CA,SOMIS,93066,1,92950,49.1,3222,2697,2821
NY,EAST ROCKAWAY,11518,4,92901,44.7,10278,9941,645
NJ,GREAT MEADOWS,07838,18,92898,36,3896,3628,261
WY,ETNA,83118,44,92863,38.4,1582,1532,23
PA,OREFIELD,18069,11,92813,44.3,8091,7089,357
CA,SUNNYVALE,94089,1,92762,37.3,20747,9537,2821
NJ,MATAWAN,07747,18,92729,41.6,31288,24461,261
MA,EAST SANDWICH,02537,23,92639,45.6,6500,6306,273
MA,BROOKLINE,02445,23,92622,35.4,20785,15597,273
PA,SCHWENKSVILLE,19473,11,92518,40.4,16705,15523,357
NY,PINE ISLAND,10969,4,92500,41.8,1717,1305,645
MA,PAXTON,01612,23,92500,38.8,4895,4325,273
MA,EAST WALPOLE,02032,23,92500,44,4080,3435,273
NY,WEST SAND LAKE,12196,4,92500,45,3390,3277,645
NJ,MONROEVILLE,08343,18,92460,41.8,5551,4712,261
MA,ESSEX,01929,23,92396,44.7,3608,3510,273
PA,AMBERSON,17210,11,92381,45.5,142,142,357
NY,COLD SPRING,10516,4,92381,44.3,5474,5156,645
NJ,COOKSTOWN,08511,18,92375,45.4,719,587,261
PA,DOWNINGTOWN,19335,11,92370,40.5,46709,39325,357
NE,GARLAND,68360,38,92361,47.3,570,567,58
ND,THOMPSON,58278,49,92321,43.6,1800,1760,13
MA,NEWTON,02458,23,92300,40.9,12781,9884,273
IA,WALFORD,52351,32,92284,35.8,1563,1544,89
NY,PORT JEFFERSON STATION,11776,4,92280,40,26171,23525,645
FL,JUPITER,33478,3,92266,46.6,11926,11391,694
CT,BETHEL,06801,30,92250,42.6,19250,16941,123
GA,AUGUSTA,30903,10,92232,36.2,732,613,326
NJ,NORWOOD,07648,18,92203,47.7,5823,4099,261
WV,MAXWELTON,24957,47,92179,42.4,340,279,25
CT,CORNWALL BRIDGE,06754,30,92167,46.6,1692,1627,123
MA,MILLIS,02054,23,92042,41.9,8051,7676,273
MN,SAINT MICHAEL,55376,20,92032,35.8,17040,15936,184
FL,BRADENTON,34212,3,91958,45,16032,15142,694
IN,INDIANAPOLIS,46259,16,91922,37.6,11341,10391,221
FL,WINDERMERE,34786,3,91884,35.3,34328,25228,694
IL,VERONA,60479,5,91875,40.1,757,748,575
PA,ORELAND,19075,11,91850,37.7,7506,6307,357
FL,WEST PALM BEACH,33412,3,91847,48.3,13186,10688,694
CT,HARWINTON,06791,30,91712,47.6,5584,5494,123
CA,PRATHER,93651,1,91667,52.3,1526,1473,2821
PA,ARDARA,15615,11,91607,45.8,261,261,357
CA,SANTA CRUZ,95065,1,91607,42.3,8804,7486,2821
CA,MOSS BEACH,94038,1,91598,40.5,3607,2542,2821
MS,SOUTHAVEN,38672,39,91597,36.5,12804,9307,32
IL,SHERMAN,62684,5,91585,42.4,5821,5716,575
NY,PIERMONT,10968,4,91581,52.9,2344,2007,645
IL,TRILLA,62469,5,91563,48.1,510,510,575
MO,COSBY,64436,21,91500,46,746,730,188
NY,BROOKHAVEN,11719,4,91488,50.7,3141,2716,645
NY,CHESTER,10918,4,91471,40.1,12258,9919,645
NJ,SEWELL,08080,18,91440,43.1,36078,32113,261
MA,NORTON,02766,23,91438,38.4,19362,18390,273
CT,GALES FERRY,06335,30,91419,43.7,6761,6169,123
ND,BUCHANAN,58420,49,91406,36.2,348,343,13
TX,DRIPPING SPRINGS,78620,2,91406,43.4,14614,14022,1042
MA,HANSON,02341,23,91384,43,10372,9811,273
CT,BARKHAMSTED,06063,30,91375,45.9,3110,3064,123
NJ,PEQUANNOCK,07440,18,91364,41.4,4739,4462,261
MD,CHARLOTTE HALL,20622,15,91346,42.7,5319,4182,257
WY,ALCOVA,82620,44,91321,38.6,323,317,23
MA,NEWBURY,01951,23,91304,48.1,4051,3949,273
NY,SLATE HILL,10973,4,91250,42,2603,2246,645
WY,WILSON,83014,44,91250,47.7,3709,3562,23
PA,WALSTON,15781,11,91250,38.4,70,70,357
MD,COLORA,21917,15,91250,40.1,2820,2667,257
NH,DANVILLE,03819,46,91250,41.5,4446,4244,29
CT,STONINGTON,06378,30,91250,50.3,5237,4976,123
ND,ALSEN,58311,49,91250,45.3,63,63,13
NJ,GLEN GARDNER,08826,18,91140,47,5529,5173,261
IA,SOLON,52333,32,91033,43.2,6476,6217,89
NV,SPRING CREEK,89815,24,91031,35.9,14424,13548,253
NJ,LAMBERTVILLE,08530,18,91028,45.2,7633,6602,261
PA,SWARTHMORE,19081,11,91013,37.8,9928,8902,357
IL,ROCHESTER,62563,5,91011,43.7,5706,5526,575
MA,PLAINVILLE,02762,23,91009,41.8,8735,8176,273
MD,MYERSVILLE,21773,15,91007,45.4,5468,5217,257
NJ,CLARK,07066,18,90956,44,15144,14404,261
NC,SUMMERFIELD,27358,12,90947,43.3,15075,13438,338
ID,VIOLA,83872,36,90938,39.6,620,611,67
IL,MAPLETON,61547,5,90919,41.1,4247,4167,575
MA,FORESTDALE,02644,23,90912,39,4347,4336,273
RI,WEST KINGSTON,02892,50,90905,50.4,4434,4122,27
AK,UNALASKA,99685,41,90893,36.7,4386,1444,49
IA,HONEY CREEK,51542,32,90885,50.5,936,896,89
MA,LAKEVILLE,02347,23,90876,43.8,11098,10813,273
UT,HUNTSVILLE,84317,27,90847,46.4,2380,2291,101
VA,HUDGINS,23076,9,90792,51,802,529,432
MA,PEMBROKE,02359,23,90790,41,18081,17205,273
NJ,RIVERTON,08077,18,90662,44.6,19164,17212,261
NY,ROCKY POINT,11778,4,90658,37.9,12339,11823,645
MA,PLYMPTON,02367,23,90648,45.7,2868,2803,273
WI,WAUNAKEE,53597,22,90639,41.2,17792,16833,145
IL,WADSWORTH,60083,5,90637,39.9,10676,7254,575
SD,PRINGLE,57773,43,90625,40,330,300,25
CT,POMFRET CENTER,06259,30,90602,43,4378,4247,123
NJ,HAINESPORT,08036,18,90542,45.7,5730,4584,261
NY,VALLEY STREAM,11580,4,90536,39.3,42765,15375,645
TX,BUFFALO GAP,79508,2,90521,43.1,1266,1138,1042
MD,PASADENA,21122,15,90513,39.4,61133,54600,257
MA,TEWKSBURY,01876,23,90477,44.3,29479,27880,273
MO,DEFIANCE,63341,21,90471,49.8,3534,3518,188
NV,WASHOE VALLEY,89704,24,90441,51.6,4535,4374,253
GA,CATAULA,31804,10,90438,43.2,5787,5267,326
NJ,WEST ORANGE,07052,18,90429,41.1,47000,28163,261
MN,SCANDIA,55073,20,90417,49.6,3322,3208,184
CT,PORTLAND,06480,30,90417,44.5,9447,9095,123
MO,SPRINGFIELD,65809,21,90402,47.8,11583,11209,188
FL,HOLLYWOOD,33029,3,90378,37.9,48397,31022,694
NJ,OCEANPORT,07757,18,90337,43.3,5735,5364,261
NJ,HEWITT,07421,18,90324,43.9,7317,6843,261
KY,HAMPTON,42047,26,90313,36.9,209,189,116
MA,UXBRIDGE,01569,23,90313,39.4,13828,12929,273
NY,YAPHANK,11980,4,90313,41.7,5273,4585,645
CT,COVENTRY,06238,30,90309,44.1,12450,12049,123
NJ,PORT MONMOUTH,07758,18,90307,42.1,4512,4229,261
MA,WILBRAHAM,01095,23,90307,48,14514,13621,273
CT,MOODUS,06469,30,90305,42.8,3204,2852,123
PA,BEAR CREEK,18602,11,90250,47.7,316,310,357
IA,OTLEY,50214,32,90223,40,907,907,89
FL,OVIEDO,32766,3,90208,35.3,15905,14077,694
NY,GOSHEN,10924,4,90184,44,13255,10906,645
WA,VALLEYFORD,99036,6,90179,42.9,1420,1349,757
OH,ALEXANDRIA,43001,7,90175,46,2677,2584,377
DE,ODESSA,19730,45,90158,38.4,1197,1027,25
MO,ROBY,65557,21,90114,50,107,107,188
NH,DUNBARTON,03046,46,90083,44.3,2791,2673,29
NY,CENTER MORICHES,11934,4,90080,39.8,8043,7793,645
NH,PELHAM,03076,46,90077,41.8,13113,12642,29
MA,ASSONET,02702,23,90066,40.5,4730,4546,273
IL,MILLCREEK,62961,5,90000,52.3,36,36,575
TX,MAYPEARL,76064,2,90000,39.4,1398,1352,1042
IL,ALEXANDER,62601,5,90000,52.2,434,428,575
IA,CUMMING,50061,32,90000,47.3,1679,1644,89
CT,COLUMBIA,06237,30,89986,48.1,5460,4732,123
IA,SWISHER,52338,32,89970,42.3,3445,3271,89
PA,YORK,17407,11,89911,39.1,2264,2060,357
OH,BAY VILLAGE,44140,7,89864,44.4,15469,15091,377
MA,BOSTON,02199,23,89861,53.9,1173,1028,273
VA,MIDLAND,22728,9,89808,44,3168,2559,432
CT,STAMFORD,06907,30,89797,36.8,9114,6514,123
NY,NIVERVILLE,12130,4,89750,46.6,988,988,645
PA,LAURYS STATION,18059,11,89732,48,1083,1074,357
MI,SALINE,48176,14,89713,43.6,21937,20195,283
MD,FISHING CREEK,21634,15,89688,38.5,337,331,257
IN,ROMNEY,47981,16,89667,40.1,927,843,221
CT,GOSHEN,06756,30,89625,51.9,2798,2712,123
NY,ALTAMONT,12009,4,89605,42.5,7560,7184,645
CT,MYSTIC,06355,30,89590,49.7,12534,11469,123
CT,WASHINGTON DEPOT,06794,30,89574,51.8,1305,1260,123
NJ,LAKE HOPATCONG,07849,18,89554,43.4,8965,8068,261
FL,BRADENTON,34211,3,89547,52.5,4627,4161,694
NY,CORNWALL ON HUDSON,12520,4,89417,42.1,3027,2814,645
CA,CARMEL VALLEY,93924,1,89415,54.7,6231,5647,2821
CT,LEBANON,06249,30,89375,45.1,7295,6986,123
FL,BOCA RATON,33498,3,89362,47.4,13749,11696,694
ME,NORTH YARMOUTH,04097,48,89353,44.6,3676,3512,30
WI,GREENVILLE,54942,22,89353,35.8,9227,8931,145
SC,ISLE OF PALMS,29451,25,89348,54.8,4306,4218,131
NY,MINEOLA,11501,4,89347,41.1,19241,14696,645
NJ,TRENTON,08628,18,89346,43.3,9536,6924,261
CA,GLENDALE,91207,1,89333,47.9,10359,8178,2821
NY,CLINTON CORNERS,12514,4,89306,44.2,3213,2823,645
MD,FORK,21051,15,89286,45.9,296,291,257
NY,OLD CHATHAM,12136,4,89276,50.7,847,806,645
NH,NASHUA,03062,46,89271,42.9,26885,21989,29
TX,AUSTIN,78735,2,89245,38.4,17438,15706,1042
NY,LITTLE NECK,11363,4,89219,43.8,7662,4635,645
VT,UNDERHILL,05489,51,89209,46.4,3190,3117,8
NY,ROCK HILL,12775,4,89167,44.1,2327,1997,645
VA,ROCKVILLE,23146,9,89138,44.9,3156,2669,432
NJ,MIDLAND PARK,07432,18,89130,42.3,7269,6858,261
MA,HARDWICK,01037,23,89118,52.4,731,666,273
NY,GREENLAWN,11740,4,89102,44.1,9346,7980,645
NJ,STANHOPE,07874,18,89065,43.3,8549,7754,261
NE,DAVEY,68336,38,89063,48.3,349,336,58
IL,CANTRALL,62625,5,89034,52.9,734,693,575
IL,WILLIAMSVILLE,62693,5,88958,38.4,1653,1610,575
MN,DAYTON,55327,20,88958,46.3,3598,3544,184
MN,MANTORVILLE,55955,20,88938,41.3,2697,2633,184
MA,WESTMINSTER,01473,23,88902,42.9,7414,7276,273
MN,CEDAR,55011,20,88885,41,10255,9822,184
VA,MONTPELIER,23192,9,88875,46.6,6906,5506,432
MA,REHOBOTH,02769,23,88868,43.1,11835,11509,273
CA,PENNGROVE,94951,1,88854,45.9,4152,3409,2821
MN,BETHEL,55005,20,88828,36.2,4326,3813,184
MA,BERLIN,01503,23,88816,46.9,2957,2866,273
NY,EAST QUOGUE,11942,4,88784,45.2,4253,3994,645
MA,FOXBORO,02035,23,88766,42.8,17243,16072,273
WY,ALPINE,83128,44,88719,44.4,1341,1241,23
AL,MADISON,35757,33,88708,39.7,14070,9853,85
CT,EAST HARTLAND,06027,30,88684,47.8,1464,1401,123
ND,LIGNITE,58752,49,88594,52.3,155,151,13
PA,COLMAR,18915,11,88583,49.2,675,577,357
MN,MOUND,55364,20,88563,44.2,14740,13863,184
PA,GILBERTSVILLE,19525,11,88553,41.8,15478,14774,357
UT,STOCKTON,84071,27,88500,38.3,1360,1322,101
NJ,TOTOWA,07512,18,88490,42.7,10931,9123,261
MD,WEST RIVER,20778,15,88487,49.4,1909,1710,257
MA,BELLINGHAM,02019,23,88460,41.5,16682,15719,273
TX,SEABROOK,77586,2,88455,39.5,22550,19414,1042
NY,WARWICK,10990,4,88452,44.6,19647,16888,645
NJ,BLAIRSTOWN,07825,18,88415,47,9277,8978,261
MD,GRASONVILLE,21638,15,88393,44.1,4920,4150,257
WY,SINCLAIR,82334,44,88333,40.4,398,360,23
MA,MAYNARD,01754,23,88333,42.2,10459,9149,273
MO,ROCHEPORT,65279,21,88333,50.8,1476,1458,188
CT,NORWALK,06851,30,88326,43.1,27957,21759,123
WY,PINEDALE,82941,44,88320,35.8,4724,4511,23
TX,CELINA,75009,2,88288,35.4,9409,8305,1042
IL,SPRINGFIELD,62712,5,88256,40.8,10131,9451,575
IL,ELLERY,62833,5,88250,46.3,283,283,575
NE,MALCOLM,68402,38,88214,41.5,1323,1317,58
GA,ATLANTA,30306,10,88201,37.6,22329,19825,326
WI,KOHLER,53044,22,88194,43,2595,2468,145
CA,LEE VINING,93541,1,88169,53.4,519,500,2821
NJ,MILMAY,08340,18,88150,40.6,713,631,261
CA,BRISBANE,94005,1,88141,42.6,4496,2306,2821
MA,SOUTH EASTON,02375,23,88090,41.5,9611,8404,273
CO,MORRISON,80465,13,88065,44.1,15986,14977,481
NY,BALLSTON LAKE,12019,4,88059,44.4,14584,13616,645
IL,GOODFIELD,61742,5,88056,36.9,1231,1217,575
IA,GRANGER,50109,32,88050,37,3217,3194,89
MA,WEST ROXBURY,02132,23,87983,43.5,28506,23898,273
MA,BRIMFIELD,01010,23,87961,45.8,3695,3695,273
NY,SOUND BEACH,11789,4,87955,38.2,8221,7959,645
MO,AUGUSTA,63332,21,87917,51.9,1355,1355,188
GA,FAYETTEVILLE,30215,10,87887,43.8,33614,24278,326
WI,COTTAGE GROVE,53527,22,87847,36.6,10982,9738,145
IA,MILLERTON,50165,32,87813,54.8,29,29,89
GA,TYRONE,30290,10,87755,43,8769,6047,326
